Substance Name,Substance ID,Published Report Count inc cellar,ID List URL,Data XML Blob,Alternate/Other Names,Equiv (Child) Substance IDs
 Amphetamines                                  ,6,673," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=6&amp;max=674"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=6&amp;format=xml"">Experience Data</a>   ", Speed; Adderall; Dexedrine                                                                                                              ,                                                                                                                                                              
 Morning Glory                                 ,38,667," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=38&amp;max=668"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=38&amp;format=xml"">Experience Data</a>  ", Ipomoea violacea; tlilitzin; badoh negro (seeds)                                                                                        ,                                                                                                                                                              
 Methamphetamine                               ,37,643," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=37&amp;max=644"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=37&amp;format=xml"">Experience Data</a>  ", Meth; Crystal Meth; Ice; Crank; Desoxyn                                                                                                 ,                                                                                                                                                              
 Kratom                                        ,203,607," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=203&amp;max=608"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=203&amp;format=xml"">Experience Data</a> ", Mitragyna speciosa                                                                                                                      ,                                                                                                                                                              
 2C-I                                          ,172,592," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=172&amp;max=593"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=172&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 Syrian Rue                                    ,45,541," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=45&amp;max=542"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=45&amp;format=xml"">Experience Data</a>  ", Peganum harmala                                                                                                                         ,                                                                                                                                                              
 H.B. Woodrose                                 ,26,523," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=26&amp;max=524"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=26&amp;format=xml"">Experience Data</a>  ", Argyreia nervosa; HBW; hawaiian baby woodrose;                                                                                          ,                                                                                                                                                              
 Nitrous Oxide                                 ,40,505," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=40&amp;max=506"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=40&amp;format=xml"">Experience Data</a>  ", Nitrous; N2O; Whippets                                                                                                                  ,                                                                                                                                                              
 2C-B                                          ,52,465," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=52&amp;max=466"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=52&amp;format=xml"">Experience Data</a>  ", Bees                                                                                                                                    ,                                                                                                                                                              
 Heroin                                        ,27,462," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=27&amp;max=463"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=27&amp;format=xml"">Experience Data</a>  ", Smack; Horse                                                                                                                            ,                                                                                                                                                              
 Oxycodone                                     ,176,457," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=176&amp;max=458"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=176&amp;format=xml"">Experience Data</a> ", Oxycontin; Percodan; Percocet; Roxicodone                                                                                               ,                                                                                                                                                              
 2C-E                                          ,137,454," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=137&amp;max=455"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=137&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 5-MeO-DMT                                     ,58,429," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=58&amp;max=430"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=58&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 Dreams                                        ,85,420," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=85&amp;max=421"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=85&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 Pharms - Tramadol                             ,149,416," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=149&amp;max=417"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=149&amp;format=xml"">Experience Data</a> ", Ultram                                                                                                                                  , 835                                                                                                                                                          
 Pharms - Zolpidem                             ,143,406," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=143&amp;max=407"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=143&amp;format=xml"">Experience Data</a> ", Ambien; Stilnox; Sublinox                                                                                                               ,                                                                                                                                                              
 Nutmeg                                        ,41,404," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=41&amp;max=405"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=41&amp;format=xml"">Experience Data</a>  ", Myristica fragrans                                                                                                                      ,                                                                                                                                                              
 Diphenhydramine                               ,109,404," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=109&amp;max=405"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=109&amp;format=xml"">Experience Data</a> ", Benadryl                                                                                                                                ,                                                                                                                                                              
 Alcohol                                       ,61,386," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=61&amp;max=387"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=61&amp;format=xml"">Experience Data</a>  ", Ethanol                                                                                                                                 ," 198, 199                                                                                                                                                     "
 Hydrocodone                                   ,111,374," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=111&amp;max=375"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=111&amp;format=xml"">Experience Data</a> ", Vicodin; Norco                                                                                                                          ,                                                                                                                                                              
 Datura                                        ,15,373," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=15&amp;max=374"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=15&amp;format=xml"">Experience Data</a>  ", Jimson Weed; Thorn Apple                                                                                                                ,                                                                                                                                                              
 Pharms - Alprazolam                           ,98,364," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=98&amp;max=365"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=98&amp;format=xml"">Experience Data</a>  ", Xanax; Niravam                                                                                                                          ,                                                                                                                                                              
 Amanitas - A. muscaria                        ,70,344," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=70&amp;max=345"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=70&amp;format=xml"">Experience Data</a>  ", Amanita muscaria                                                                                                                        ,                                                                                                                                                              
 5-MeO-DiPT                                    ,57,335," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=57&amp;max=336"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=57&amp;format=xml"">Experience Data</a>  ", Foxy Methoxy                                                                                                                            ,                                                                                                                                                              
 AMT                                           ,7,326," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=7&amp;max=327"">Experience List</a>   "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=7&amp;format=xml"">Experience Data</a>   ", IT-290                                                                                                                                  ,                                                                                                                                                              
 Pharms - Clonazepam                           ,125,325," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=125&amp;max=326"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=125&amp;format=xml"">Experience Data</a> ", Klonopin                                                                                                                                ,                                                                                                                                                              
 4-AcO-DMT                                     ,387,324," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=387&amp;max=325"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=387&amp;format=xml"">Experience Data</a> "," 4-acetoxy-N,N-dimethyltryptamine                                                                                                        ",                                                                                                                                                              
 Caffeine                                      ,11,313," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=11&amp;max=314"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=11&amp;format=xml"">Experience Data</a>  ", No-Doz; Vivarin; Energy Drink                                                                                                           ," 173, 911                                                                                                                                                     "
 Alcohol - Beer/Wine                           ,199,302," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=199&amp;max=303"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=199&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 Alcohol - Hard                                ,198,300," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=198&amp;max=301"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=198&amp;format=xml"">Experience Data</a> ", Liquor                                                                                                                                  ,                                                                                                                                                              
 Cacti - T. pachanoi                           ,64,293," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=64&amp;max=294"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=64&amp;format=xml"">Experience Data</a>  ", Trichocereus pachanoi; San Pedro                                                                                                        ,                                                                                                                                                              
 Kava                                          ,30,282," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=30&amp;max=283"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=30&amp;format=xml"">Experience Data</a>  ", Kawa; Awa; Piper methisticum                                                                                                            ,                                                                                                                                                              
 Pharms - Buprenorphine                        ,265,270," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=265&amp;max=271"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=265&amp;format=xml"">Experience Data</a> ", Suboxone; Temgesic; Subutex; Buprenex                                                                                                   ,                                                                                                                                                              
 Codeine                                       ,14,267," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=14&amp;max=268"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=14&amp;format=xml"">Experience Data</a>  ", Tylenol 3                                                                                                                               ,                                                                                                                                                              
 Dimenhydrinate                                ,17,254," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=17&amp;max=255"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=17&amp;format=xml"">Experience Data</a>  ", Dramamine; Motion Sickness Pills                                                                                                        ,                                                                                                                                                              
 25I-NBOMe                                     ,542,251," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=542&amp;max=252"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=542&amp;format=xml"">Experience Data</a> ", 2C-I-NBOMe                                                                                                                              ,                                                                                                                                                              
 2C-T-7                                        ,54,251," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=54&amp;max=252"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=54&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 Pharms - Methylphenidate                      ,114,249," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=114&amp;max=250"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=114&amp;format=xml"">Experience Data</a> ", Ritalin; Concerta                                                                                                                       , 501                                                                                                                                                          
 Methoxetamine                                 ,527,246," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=527&amp;max=247"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=527&amp;format=xml"">Experience Data</a> ", MXE ;  2-(3-methoxyphenyl)-2-(ethylamino)cyclohexanone                                                                                  ,                                                                                                                                                              
 DPT                                           ,21,244," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=21&amp;max=245"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=21&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 Inhalants                                     ,29,244," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=29&amp;max=245"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=29&amp;format=xml"">Experience Data</a>  ", Glue; Freon; Duster; Propellant; Solvent; Gasoline; Petrol; Butane; Propane; Ethane                                                     ,                                                                                                                                                              
 Mimosa tenuiflora                             ,74,237," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=74&amp;max=238"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=74&amp;format=xml"">Experience Data</a>  ", Mimosa hostilis; Jurema Preta                                                                                                           ,                                                                                                                                                              
 GHB                                           ,25,233," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=25&amp;max=234"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=25&amp;format=xml"">Experience Data</a>  ", Gamma hydroxybutyrate                                                                                                                   ,                                                                                                                                                              
 Modafinil                                     ,217,214," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=217&amp;max=215"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=217&amp;format=xml"">Experience Data</a> ", Provigil                                                                                                                                ,                                                                                                                                                              
 Products - Spice-Like Smoking Blends          ,472,208," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=472&amp;max=209"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=472&amp;format=xml"">Experience Data</a> ", Spice; K2; Black Mamba                                                                                                                  ,                                                                                                                                                              
 Police / Customs                              ,60,207," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=60&amp;max=208"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=60&amp;format=xml"">Experience Data</a>  ",                                                                                                                                         ,                                                                                                                                                              
 Pharms - Bupropion                            ,87,206," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=87&amp;max=207"">Experience List</a>  "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=87&amp;format=xml"">Experience Data</a>  ", Wellbutrin; Zyban                                                                                                                       ,                                                                                                                                                              
 Meditation                                    ,128,203," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=128&amp;max=204"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=128&amp;format=xml"">Experience Data</a> ",                                                                                                                                         ,                                                                                                                                                              
 Methylone                                     ,255,200," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=255&amp;max=201"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=255&amp;format=xml"">Experience Data</a> ", bk-MDMA; Explosion; Ease; M1; Neocor [Germany]                                                                                          ,                                                                                                                                                              
 Huasca Combo                                  ,269,200," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=269&amp;max=201"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=269&amp;format=xml"">Experience Data</a> ", MAOI- and DMT-containing plants (or extracts) taken separately.                                                                         ,                                                                                                                                                              
 Pharms - Gabapentin                           ,183,199," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_list&amp;substance_id=183&amp;max=200"">Experience List</a> "," <a href=""https://erowid.org/experiences/research/exp_api.php?api_code=berkeley_bcsp_tyrone_2022&amp;a=experience_data&amp;substance_id=183&amp;format=xml"">Experience Data</a> ", Neurontin                                                                                                                               ,                                                                                                                                                              
