id,trip_type,substance,substance_name,substance_id,date,rating,category_id,list_number,intensity,category-id-list,experience-year,gender,author,title
23877,bad,Cannabis,Cannabis,1,2003 May 1,C-,6,824,5,"[6, 8, 16]",2002,M,gldchinchila,Heart Racer
24315,bad,Cannabis,Cannabis,1,2003 Jun 1,C+,6,834,4,"[6, 8, 17]",2002,M,Jamers,Complete Distortion Of Time
24543,bad,Cannabis,Cannabis,1,2003 Jun 1,C+,6,842,5,"[6, 7, 36]",2003,M,anonymous,Something Wasn't Right
24975,bad,Cannabis,Cannabis,1,2003 Jul 1,C,6,863,4,"[5, 6, 16, 27]",2003,M,Oak Tree,Convulsions on the Green
25089,bad,Cannabis,Cannabis,1,2003 Jul 1,C+,11,870,4,"[6, 11, 15, 38]",2003,F,Silli_ness,Multiple 'Bad Trips'/Panic Attacks Over 7 Yrs
25118,bad,Cannabis,Cannabis,1,2003 Jul 1,C+,6,873,4,"[6, 17]",2003,M,Popplagid,Took Me to Hell
25331,bad,Cannabis,Cannabis,1,2003 Jul 1,C,6,876,4,"[1, 6, 28]",2002,M,Firehawk,Unstoppable Anxiety
28195,bad,Cannabis,Cannabis,1,2003 Nov 1,B,6,935,3,"[6, 16, 46]",2003,M,Sc7389x,Complete Insanity
28314,bad,Cannabis,Cannabis,1,2003 Nov 1,C,6,938,4,"[5, 6, 28, 46]",2003,N,Kaylee,Sensations
28957,bad,Cannabis,Cannabis,1,2003 Dec 1,C+,6,953,4,"[6, 17, 27]",2003,F,Toastered,Panic Attack
29110,bad,Cannabis,Cannabis,1,2003 Dec 1,C+,6,960,3,"[6, 17, 29]",2003,M,potto,Close to Death
29389,bad,Cannabis,Cannabis,1,2003 Dec 1,C+,6,971,5,"[6, 17, 29]",2002,M,Edge Chaos,Ego Death?
29983,bad,Cannabis,Cannabis - Hashish,93,2004 Jan 1,C,6,997,4,"[6, 17]",2004,M,Mixu,I'll Never Take My Mind For Granted Again
30150,bad,Cannabis,Cannabis,1,2004 Jan 1,C-,6,1005,4,"[6, 17]",2004,F,Caitlin,I Couldn't Control It
30164,bad,Cannabis,Cannabis,1,2004 Jan 1,C+,6,1007,4,"[6, 8, 11, 27, 28, 46]",2004,M,UseJustOnce,A Year Long Hangover
30796,bad,Cannabis,Cannabis,1,2004 Feb 1,C,6,1017,5,"[5, 6, 17]",2001,F,Raine,The Train to Nowheres
31194,bad,Cannabis,Cannabis,1,2004 Feb 1,C+,6,1030,4,"[5, 6, 17]",2004,F,Alison,I Felt Like I was Dying
31537,bad,Cannabis,Cannabis,1,2004 Mar 1,C+,10,1040,4,"[5, 6, 10, 17, 46]",2004,M,Tokin Jim Jones,The Years Caught Up With Me
33651,bad,Cannabis,Cannabis,1,2004 May 1,C+,6,1079,4,"[5, 6, 16]",2004,M,Bluey,Stupid Stupid Stupid
34259,bad,Cannabis,Cannabis,1,2004 Jun 1,C,6,1094,4,"[1, 5, 6, 11, 38]",2003,M,D,Panic Attacks Out of the Blue
34663,bad,Cannabis,Cannabis,1,2004 Jun 1,C+,6,1111,5,"[5, 6, 17]",2000,F,Kaduchima,What the....?
34709,bad,Cannabis,Cannabis,1,2004 Jun 1,C+,6,1112,4,"[6, 11, 17, 46]",1996,M,MK-801,Trip and a Flashback
34789,bad,Cannabis,Cannabis,1,2004 Jun 1,C+,6,1114,4,"[6, 8, 17, 46]",2004,M,Skewered,Not Exactly Benign
34993,bad,Cannabis,Cannabis,1,2004 Jul 1,C,6,1122,4,"[6, 17]",2003,M,Jonas,Parachuting
35064,bad,Cannabis,Cannabis,1,2004 Jul 1,C,6,1125,4,"[6, 17, 27, 42]",2004,M,Tarts,A Different Experience Every Time
35676,bad,Cannabis,Cannabis,1,2004 Aug 1,C+,6,1140,4,"[6, 17, 44]",2004,M,Eikichi,Thai Power Rangers
35761,bad,Cannabis,Cannabis,1,2004 Aug 1,C+,6,1142,4,"[6, 8, 17]",2004,M,FTK,Fear of Everything
36158,bad,Cannabis,Cannabis,1,2004 Aug 1,C,6,1152,3,"[1, 5, 6, 16]",2004,M,Wasting The Dawn,Aztec Ruins
36410,bad,Cannabis,Cannabis,1,2004 Aug 1,C+,2,1155,4,"[2, 6, 16]",2004,M,Temp,Alone and Scared
36484,bad,Cannabis,Cannabis,1,2004 Sep 1,C+,6,1157,5,"[6, 8, 15, 16, 27, 44]",2004,M,Ktell,I Felt Like I was Gonna Die
36930,bad,Cannabis,Cannabis (cookies),1,2004 Sep 1,C,6,1167,5,"[6, 8, 11, 17, 30]",2002,F,lunafisk,Overwhelming Terror and Lostness
37556,bad,Cannabis,Cannabis,1,2004 Oct 1,C+,6,1186,4,"[6, 17]",2004,F,Evil Brownies,The Brownies From Hell
39629,bad,Cannabis,Cannabis,1,2005 Jan 1,C+,6,1225,5,"[5, 6, 17, 40, 46]",2004,M,Shazzaka,Turning Point Bad Trip
42395,bad,Cannabis,Cannabis,1,2005 Apr 1,C+,6,1276,5,"[6, 16]",2005,M,SINZAR,My Whole Life was Leading up to Today
44367,bad,Cannabis,Cannabis,1,2005 Jul 1,C,11,1320,4,"[2, 6, 11, 28]",2005,M,Peter,First Time Was the Worst
44688,bad,Cannabis,Cannabis,1,2005 Jul 1,C+,11,1323,4,"[5, 6, 11, 28]",2005,M,Mike,Fear and Pain
45085,bad,Cannabis,Cannabis,1,2005 Jul 1,C+,5,1332,4,"[5, 6, 17]",2005,M,Social Smoker,Mary Jane Threw Me a Beating
45711,bad,Cannabis,Cannabis,1,2005 Aug 1,B,6,1350,5,"[6, 8, 17, 26]",2005,M,Unsinnig,Twisting on Fire
45723,bad,Cannabis,Cannabis,1,2005 Aug 1,C,6,1351,4,"[5, 6, 16]",2005,M,Deaf Whisper,It Crushed My Humanity
46429,bad,Cannabis,Cannabis,1,2005 Sep 1,B,6,1363,5,"[1, 5, 6, 17, 22, 39]",2005,F,Brandy,Far From Gravity
46757,bad,Cannabis,Cannabis,1,2005 Oct 1,B,5,1368,3,"[5, 6, 7, 10, 13, 28, 46]",2005,M,H,Paramedics Came with a Cop
50920,bad,Cannabis,Cannabis,1,2006 Feb 1,C+,6,1446,4,"[5, 6, 16, 46]",2006,M,TheArcher,Marijuana Brownie Disaster
51669,bad,Cannabis,Cannabis,1,2006 Mar 1,B,11,1463,4,"[5, 6, 10, 11, 15, 27, 28, 37]",2006,M,Hypnic_JerK,Through the Panic
52759,bad,Cannabis,Cannabis,1,2006 Apr 1,C+,6,1490,4,"[6, 17]",2006,F,LazyL,Terrifying/Unforgettable Night
53030,bad,Cannabis,Cannabis,1,2006 May 1,C+,6,1496,4,"[6, 17]",2006,F,BeautifulSilence,It Comes Unexpected
53166,bad,Cannabis,Cannabis,1,2006 May 1,D,6,1499,4,"[3, 5, 6, 11, 38]",2006,F,Spacey20,Nightmares in My Wake
53405,bad,Cannabis,Cannabis,1,2006 May 1,B,6,1508,4,"[5, 6, 17]",2006,N,Vespertine,In A Dream
54202,bad,Cannabis,Cannabis,1,2006 Jun 1,C,6,1531,5,"[6, 8, 17]",2005,F,AW,Forever Changed
54760,bad,Cannabis,Cannabis,1,2006 Jul 1,C+,6,1543,3,"[6, 8, 17, 46]",1999,F,Hamster,Losing My Mind
55790,bad,Cannabis,Cannabis,1,2006 Sep 1,D,5,1573,5,"[5, 6, 17]",2005,M,Deep thoughts,The Disassembling Of Reality
56220,bad,Cannabis,Cannabis,1,2006 Sep 1,C+,6,1580,5,"[5, 6, 17, 46]",2006,M,Sinkoman,Mental and Spiritual Non-Existence
56366,bad,Cannabis,Cannabis,1,2006 Oct 1,C,6,1586,4,"[5, 6, 28, 46]",2003,M,Galvolis,Bad Experiences Last Years
57690,bad,Cannabis,Cannabis,1,2006 Nov 1,C+,6,1619,4,"[6, 16]",2006,M,Zod,Numers & Terror
57755,bad,Cannabis,Cannabis,1,2006 Nov 1,C,27,1620,5,"[6, 8, 17, 27]",1986,M,One-hit-wonder,Lifelong Aftereffects
58103,bad,Cannabis,Cannabis,1,2006 Dec 1,C+,11,1631,4,"[6, 8, 11, 15, 16, 27, 40]",2003,M,Socialfreak,"Anxiety, PTSD, and HPPD from a Bit of Fun"
61636,bad,Cannabis,Cannabis,1,2007 Mar 1,B,6,1675,5,"[6, 28, 41, 46]",2007,M,GSscla,"Schizophrenic Journey to Heaven, Hell, In-Between and Back"
63591,bad,Cannabis,Cannabis,1,2007 Jun 1,C-,5,1709,5,"[5, 6, 16]",2007,M,Trelli,Haven't Ever Felt That Bad Before in My Life
63754,bad,Cannabis,Cannabis,1,2007 Jun 1,B,6,1710,4,"[5, 6, 17]",2007,F,Cannibus,Crrrrrrunch! (I'm Not Dreaming?)
63923,bad,Cannabis,Cannabis,1,2007 Jun 1,C,7,1713,4,"[6, 7, 17, 26]",2007,M,Mr. Dr. Ralph,Was it Laced Material?
65332,bad,Cannabis,Cannabis,1,2007 Aug 1,C+,6,1739,5,"[6, 8, 16]",2007,F,Spacey,The Shadow is Out to Steal My Soul
65579,bad,Cannabis,Cannabis,1,2007 Sep 1,C,6,1747,4,"[6, 17]",2007,M,crypto,Mass Paranoia
67144,bad,Cannabis,Cannabis,1,2007 Nov 1,C+,6,1787,5,"[6, 7, 17]",2007,F,Panda,Death Looming
69526,bad,Cannabis,Cannabis,1,2008 Mar 1,C,6,1844,4,"[6, 17, 26]",2008,M,Jet,Difficult Times
69659,bad,Cannabis,Cannabis,1,2008 Mar 1,C-,11,1846,3,"[5, 6, 11, 38]",2008,M,dude,My Thoughts and Reaction
70529,bad,Cannabis,Cannabis,1,2008 Apr 1,C,6,1870,4,"[6, 16]",2008,M,dude,Starting to Freak Out a Bit
70884,bad,Cannabis,Cannabis,1,2008 Apr 1,C+,6,1876,5,"[6, 17]",2008,F,Toy,Bad Panic Trip
72673,bad,Cannabis,Cannabis,1,2008 Jul 1,B,5,1902,4,"[5, 6, 17, 46]",2008,M,Dustsceawung,Trapped In My Own Head
76166,bad,Cannabis,Cannabis,1,2009 Jan 1,B,6,1973,4,"[1, 5, 6, 17, 29]",2007,F,ace,Thought Loop and Social Signals
76169,bad,Cannabis,Cannabis,1,2009 Jan 1,C,6,1974,4,"[6, 28, 29]",2008,M,Witefire180,Whispers of the World
77263,bad,Cannabis,Cannabis,1,2009 Mar 1,C,5,1997,5,"[5, 6, 51]",2009,M,tomgg,Fear Of Death (The Worst Kind)
78651,bad,Cannabis,Cannabis,1,2009 May 1,C,6,2006,3,"[6, 26, 28]",2008,M,Brosef,Three Hours of Hell
81941,bad,Cannabis,Cannabis,1,2009 Oct 1,C+,6,2050,5,"[5, 6, 8, 17, 27, 29]",2007,M,prosss,I Thought Everything Had Changed Forever
89536,bad,Cannabis,Cannabis,1,2011 Feb 1,C,6,2183,4,"[6, 16]",2010,F,MTT,Accidental High
92364,bad,Cannabis,Cannabis,1,2011 Aug 1,D,6,2247,4,"[6, 11, 20]",2011,N,Jnax,Reality Is Dream
93274,bad,Cannabis,Cannabis (edible),1,2011 Oct 1,C+,6,2269,4,"[6, 16, 30]",2011,M,Badfish,Scary High with Firecrackers 
98499,bad,Cannabis,Cannabis,1,2012 Dec 1,C-,6,2383,4,"[6, 17]",2012,F,Clemence,Paranoia at Its Finest
100637,bad,Cannabis,Cannabis,1,2013 Jul 1,C,6,2428,5,"[6, 25, 26]",1995,F,blnd1ab,I Would Feel Disassociated
103561,bad,Cannabis,Oral Cannabis,1,2014 Jun 1,C-,6,2495,5,"[6, 16]",2014,F,Maureen Dowd,"Dont Harsh Our Mellow, Dude"
103792,bad,Cannabis,Cannabis,1,2014 Jul 1,C-,6,2499,4,"[6, 17]",2012,F,M,Very Bad Trip
105176,bad,Cannabis,Cannabis,1,2014 Dec 1,C+,6,2525,3,"[6, 7, 24, 29, 39]",2014,F,Byrd,Edible Overdose Danger
107132,bad,Cannabis,Cannabis (edible),1,2015 Oct 1,C,6,2550,5,"[6, 17, 29]",2015,F,Roze,I Did Not Know This Was Possible
108716,bad,Cannabis,Cannabis (edible),1,2016 Jun 1,C+,6,2587,4,"[6, 13, 16, 29]",2011,M,Whitman,Consumed by Catatonic Despair
109164,bad,Cannabis,Cannabis,1,2016 Sep 1,C-,5,2597,4,"[2, 5, 6, 17]",2015,N,magicschoolbus,Recreating My Universe
110341,bad,Cannabis,Cannabis,1,2017 Apr 1,C+,6,2631,5,"[6, 16, 41]",2017,M,Meiosis,The Worst Four Hours of My Life
111241,bad,Cannabis,Cannabis,1,2017 Nov 1,C+,1,2660,3,"[1, 6, 16]",2016,M,Ben,First Time I Smoked in Many Years
111609,bad,Cannabis,Cannabis,1,2018 Feb 1,C-,5,2675,5,"[5, 6, 17, 29, 41]",2007,M,Dan,I Went Full on Panic and Realized I'm Tripping
111975,bad,Cannabis,Cannabis,1,2018 May 1,C,5,2683,4,"[2, 5, 6, 15, 17]",1971,M,william,Unexpected Visitor
112823,bad,Cannabis,Cannabis,1,2019 Jan 1,C+,6,2725,5,"[6, 16, 37]",2018,F,Q,"Infinite Amount of Voices, Infinite Lives"
113265,bad,Cannabis,Cannabis (extracts),1,2019 Jun 1,C-,6,2746,5,"[5, 6, 16, 29, 43]",2019,F,Vanessa P,Swelling & Crashing
114700,bad,Cannabis,Cannabis,1,2020 Aug 1,C+,7,2796,4,"[6, 7, 17, 30]",2017,M,Ben,Worst Case Family Weekend Trip Scenario
114886,bad,Cannabis,Cannabis (edible),1,2020 Oct 1,C,6,2802,5,"[6, 29, 53]",2020,F,nevertrippingagain,Psychosis Sent Me to Hospital
116025,bad,Cannabis,Cannabis (edible),1,2021 Dec 1,C+,5,2851,5,"[5, 6, 16]",2021,M,grassisgreener,This Is Not Just Paranoia
116325,bad,Cannabis,Cannabis (oil extract),1,2022 Apr 1,C-,5,2862,4,"[5, 6, 28, 46]",2022,F,Ellie,I Took Way Too Much
27538,bad,DMT,DMT,18,2003 Oct 1,D,6,94,3,"[6, 17]",2003,N,M,Bleak Existentialism and DMT
31055,bad,DMT,DMT,18,2004 Feb 1,C-,6,105,3,"[6, 17]",2004,M,Ynot,Negative Introduction
31694,bad,DMT,DMT,18,2004 Mar 1,D,6,106,2,"[6, 16]",2004,M,Zeroismore,Worst Trip Ever
36721,bad,DMT,DMT,18,2004 Sep 1,B,6,119,5,"[2, 6, 8, 17]",2004,F,sasha,A Cautionary Tale
64836,bad,DMT,DMT,18,2007 Aug 1,C-,6,218,5,"[1, 6, 20]",2007,M,redeemer,Now It Took the Best of Me
75585,bad,DMT,DMT,18,2008 Dec 1,C+,6,296,4,"[6, 17, 49]",2008,F,CrystalGoddess,The Horrific Majesty of DMT
79695,bad,DMT,DMT,18,2009 Jun 1,C,6,340,4,"[1, 2, 5, 6, 17]",2009,M,Chuck,"Death, Back and Then Some"
80018,bad,DMT,DMT,18,2009 Jul 1,D,6,342,4,"[5, 6, 16]",2009,M,Sound Scape 69,Satan and the Spirit Realm
81145,bad,DMT,DMT,18,2009 Sep 1,C,6,363,4,"[5, 6, 17]",2009,M,Martin,I Don't Want to Talk About It
81464,bad,DMT,DMT,18,2009 Sep 1,C,6,368,4,"[6, 17, 37]",2009,F,LilMissM,Very Humbling
81751,bad,DMT,DMT,18,2009 Oct 1,C,6,372,4,"[1, 5, 6, 16, 37]",2009,M,WCSR,I Have Been Shaken to the Core
83260,bad,DMT,DMT,18,2010 Jan 1,C,5,390,4,"[5, 6, 16, 37]",2008,M,Hypersphere,Not All Entities Are Friendly
84361,bad,DMT,DMT,18,2010 Mar 1,C-,1,399,4,"[1, 5, 6, 9, 17]",2010,M,dub,Vomiting Death!!!!
85207,bad,DMT,DMT,18,2010 May 1,B,5,413,5,"[5, 6, 9, 17, 44]",2010,F,Applepreserve,Accepting the Evil & Ego Death
85257,bad,DMT,DMT,18,2010 May 1,C+,6,414,5,"[2, 6, 17, 29, 37]",2009,F,Slush,Too Much for a First Time
88203,bad,DMT,DMT,18,2010 Nov 1,C+,6,457,5,"[2, 6, 17, 29]",2010,M,Anonymous,Reality Loss
89422,bad,DMT,DMT,18,2011 Jan 1,C,1,481,4,"[1, 5, 6, 17, 37]",2010,M,Mr. Kirk,Borderline Terrifying
94257,bad,DMT,DMT,18,2011 Dec 1,C+,27,579,4,"[5, 6, 7, 17, 27]",2011,M,Anonymous,Absolute Hell 
95201,bad,DMT,DMT,18,2012 Mar 1,C-,5,606,4,"[5, 6, 17]",2011,M,Matt,D-AUM-T
96109,bad,DMT,DMT,18,2012 May 1,D,6,628,4,"[5, 6, 20]",2012,M,Bastard Opera,Holy Fuck-Bombs I Think Ive Got the Fear
97495,bad,DMT,DMT,18,2012 Aug 1,C,6,656,4,"[1, 5, 6, 17, 37]",2010,M,ahhmanthetrees,Wow Fuccccck
97894,bad,DMT,DMT,18,2012 Oct 1,C,6,667,5,"[6, 9, 17, 37]",2012,M,Happenstance,Encountering Death
99678,bad,DMT,DMT,18,2013 Mar 1,D,6,700,4,"[6, 28, 37, 39]",2013,M,Bob ,A TRIP to HELL
100724,bad,DMT,DMT,18,2013 Jul 1,C-,2,724,5,"[2, 6, 17, 26]",2012,M,Tedu,Worst 20 Minutes of My Life
108109,bad,DMT,DMT,18,2016 Mar 1,B,6,882,5,"[1, 2, 6, 16, 49]",2016,M,beerded1,First Breakthrough. Ego Loss and Bad Trip
110333,bad,DMT,DMT,18,2017 Apr 1,C,1,929,4,"[1, 6, 9, 20, 37]",2017,M,ColdLikeASpriteSoda,Respect the Molecule: A Hero's Journey
111005,bad,DMT,DMT,18,2017 Sep 1,C+,6,946,4,"[6, 11, 16]",2017,M,Readandblue,Unprepared Liftoff Into Worst Case Scenario 
112965,bad,DMT,DMT,18,2019 Feb 1,D,5,1002,5,"[5, 6, 8, 28, 42]",2014,M,Simon Tanner,"Don't You Die on Me, for Fucks Sake"
113259,bad,DMT,DMT,18,2019 Jun 1,C,6,1009,5,"[5, 6, 17, 37]",2019,M,Cosmic Gaurdian,Nightmare Horror Rollercoaster
113406,bad,DMT,DMT,18,2019 Jul 1,C,6,1014,4,"[6, 16]",2019,M,Pessoas mascot,Telling of My Own Face
115579,bad,DMT,DMT,18,2021 Jun 1,C,2,1078,4,"[2, 6, 17, 37]",2021,M,Lucky Aint I,A Return Ticket To Madness
116012,bad,DMT,DMT,18,2021 Dec 1,C,6,1094,5,"[6, 17, 39]",2021,M,DMTUser,"Inexplicable Horror, Flushed My Entire Stash"
116014,bad,DMT,DMT,18,2021 Dec 1,C-,6,1095,5,"[2, 6, 17]",2020,PNA,Trippin in Kuopiyo,Fear and Anxiety Escalated
1149,bad,Ketamine,Ketamine,31,2000 Apr 1,C,6,16,3,"[6, 17]",2000,M,Curb,Ketamine Wasted My Jesus
1179,bad,Ketamine,Ketamine,31,2000 Apr 1,C,6,17,3,"[6, 17]",2000,N,Spaceman,"Ketamine, Please Be Careful!"
3841,bad,Ketamine,Ketamine,31,2000 Nov 1,C,6,53,5,"[6, 17]",1995,F,Anonymous,Worst Trip Ever
7931,bad,Ketamine,Ketamine,31,2001 Jul 1,C-,11,80,3,"[2, 5, 6, 11, 17]",2001,M,34th Captain,Bad Trip in the K-hole
13455,bad,Ketamine,Ketamine,31,2002 Mar 1,C,6,119,4,"[2, 6, 17]",2001,M,PJ,I Lost the Concept of Love
47678,bad,Ketamine,Ketamine,31,2005 Nov 1,C-,7,266,5,"[6, 7, 9, 17, 46]",2005,M,Mushroom Man,My Own Personal Hell O...
68262,bad,Ketamine,Ketamine,31,2008 Jan 1,D,6,384,4,"[5, 6, 17]",2007,M,jayman,Stuck in a Hole
71148,bad,Ketamine,Ketamine,31,2008 May 1,C,6,397,5,"[6, 17, 29]",2006,M,Double D,So That's What Death Feels Like?
73460,bad,Ketamine,Ketamine,31,2008 Aug 1,C,2,413,4,"[2, 5, 6, 17]",2008,F,Klimit,Keta-MEAN! Out of Body Bad Trip
85019,bad,Ketamine,Ketamine,31,2010 Apr 1,D,1,472,4,"[1, 5, 6, 17]",2009,M,yu,Down Into The Hole Of Absoute Terrifying Bliss
90108,bad,Ketamine,Ketamine,31,2011 Mar 1,B,6,506,5,"[2, 6, 18, 29, 46]",2005,F,somegirl,A Terrifying Dimension
106348,bad,Ketamine,Ketamine,31,2015 Jun 1,B,6,623,5,"[6, 16, 29]",2015,F,Celestial_,Going WAY Down The Rabbit K-Hole
109378,bad,Ketamine,Ketamine,31,2016 Oct 1,C+,1,650,4,"[1, 5, 6, 16]",2016,M,Pascal,Universe Collapsed - Alone. Welcome to Hell.
109765,bad,Ketamine,Ketamine,31,2016 Dec 1,C+,6,653,4,"[1, 5, 6, 17]",2016,F,stockholmbaby,Hollow
314,bad,LSD,LSD,2,2000 Jun 1,C,2,13,3,"[2, 6, 7, 8, 18, 42]",2000,F,Kayla,The Stupidest Drug
319,bad,LSD,LSD,2,2000 Jun 1,C,6,14,3,"[6, 18]",1999,N,Twinkle,The Strangest Party Ever
446,bad,LSD,LSD,2,2000 Feb 1,D,6,26,4,"[2, 6, 17]",2000,M,A.J.H.,My Trip To Hell
513,bad,LSD,LSD,2,2000 Feb 1,C,7,31,4,"[6, 7, 17]",2000,F,Anonymous,Local Teen Claims to be God
687,bad,LSD,LSD,2,2000 Mar 1,C,6,42,3,"[6, 18, 37]",1994,N,Soul,The Eternal Birth/Death of the Ego
718,bad,LSD,LSD,2,2000 Mar 1,D,6,45,3,"[6, 17]",2000,N,Anonymous,LSD Never Again
